r,l,t
-10.249849,1200,15.799599
-15.814819,1200,29.776287
-19.646336,1200,43.7827
-23.781845,1200,57.763699
-11.310474,1200,71.798691
15.571843,1200,85.842618
-14.238338,1200,99.822348
-6.524133,1200,113.790131
23.122364,821,123.368481
-15.887989,1200,137.316072
10.460657,1200,151.343459
-17.188796,1200,165.429812
-26.860533,1200,179.574739
9.271095,1200,193.611529
1.480063,1200,207.791581
-10.18769,1200,221.883692
103.302222,1200,235.963583
-6.49017,1200,250.230635
10.668518,1200,264.372602
61.787551,1200,278.505368
4.957247,1200,292.503716
-0.983169,1200,306.656045
41.13183,128,308.156668
-0.40435,1200,322.143871
-12.343046,1200,336.291337
33.048845,120,337.689933
16.359056,1200,351.756571
-14.531715,1200,365.835523
-0.456299,1200,379.92617
-4.797873,1200,394.244883
-19.570691,342,398.595036
7.860937,1200,412.619189
-37.011597,1200,426.799313
46.984191,1200,440.840618
-12.119885,1200,454.817174
0.18933,1200,469.224674
-14.305109,1200,483.564207
3.896309,1200,497.751471
-39.371979,56,498.43759
-6.040826,1200,512.553726
5.730658,1200,526.670877
81.958154,1200,540.664348
17.655195,1200,554.851855
29.644567,1200,568.756822
-12.362873,1200,582.863904
67.760629,1200,597.106076
-8.91423,1200,611.11089
-15.108856,1200,625.168075
-15.031144,1200,639.493111
3.445253,1200,653.527759
-8.549015,1200,667.425346
36.669627,122,668.855503
88.179618,1200,682.945129
72.76781,524,689.059876
20.880271,1200,703.170646
-6.24967,1200,717.260724
62.764331,1200,731.233173
47.625757,1200,745.352702
4.196499,1200,759.410011
-23.943977,45,759.931874
-22.248908,221,762.509938
49.681619,1200,776.722306
-5.489336,1200,790.869547
83.961712,1138,804.640405
-14.099229,1049,817.38915
-69.178356,870,827.566559
40.043556,1200,841.740409
44.728124,1200,855.862337
-4.424996,1200,869.933753
29.597577,902,880.479159
-19.305638,1200,894.55625
1.186381,1200,908.504426
-2.366483,1200,922.516699
-25.975475,878,932.911287
-9.064951,1200,946.91049
0.563745,1200,960.902614
-14.609671,70,961.718468
-1.463923,1200,975.703628
70.044297,1200,989.728456
-29.887775,1200,1003.76876
-17.061996,1200,1017.938391
33.799707,1200,1032.010577
-8.463539,1200,1045.957128
-45.566183,1200,1060.022793
-15.779405,1200,1074.098379
45.355486,1200,1088.147578
10.256708,1200,1102.102046
-9.472129,1200,1116.000981
-10.877448,1200,1129.973591
-18.560944,1200,1144.05017
-17.220124,1200,1158.105061
29.080336,1200,1172.193042
36.980998,260,1175.2407
20.067336,1200,1189.312734
77.723625,1200,1203.495428
-14.265688,1200,1217.436045
-1.821362,1200,1231.578543
39.323576,1200,1245.549251
-5.419131,1200,1259.651576
-14.479738,1200,1273.759199
59.180931,191,1275.999866
25.463477,1200,1290.043001
-33.349671,1200,1303.981909
-12.306884,1200,1318.052994
54.607275,117,1319.422159
48.101188,1200,1333.528621
35.718513,115,1334.874675
35.770071,1200,1348.842609
