r,l,t
-6.288531,1200,1.408593
6.538133,1200,4.03822
-14.654287,1200,5.517008
-15.746949,1200,8.171237
-17.537607,1200,9.629675
-9.706839,1200,12.26661
10.934521,1200,15.104625
-12.933599,1200,16.546743
-13.459511,1200,19.153728
-34.870625,1200,20.624997
9.808148,1200,23.234778
-31.569015,1200,25.997185
-21.297768,1200,27.420074
-18.581769,1200,30.020569
-13.475949,1200,31.462443
-14.547918,1200,34.132908
-26.454801,1200,35.58506
-14.778154,1200,38.286012
-43.142583,929,40.616913
-4.758061,1200,42.047199
-15.142992,1200,44.662367
-22.946227,1200,46.049899
-20.338748,1200,48.784119
-8.69982,1200,50.239387
-4.649567,1200,52.868034
-17.790503,1200,55.657668
-15.963586,1200,57.076782
-12.516333,1200,59.784347
4.716146,1200,61.244755
-7.871823,1200,63.87867
-16.655328,1200,66.845187
-17.43827,1200,68.258539
-31.850692,745,69.150087
-14.661672,1200,71.865691
-27.202198,1200,74.521205
-19.983671,1200,75.956656
8.04067,1200,78.649655
-6.174623,1200,80.108338
-2.822241,1200,82.727484
-1.341033,1200,85.337374
-14.506672,1200,86.781165
8.39218,1200,89.464963
-7.489952,1200,90.914193
-7.693689,1200,93.571367
-4.920677,1200,96.197668
-9.141726,1200,97.644316
-14.160964,1200,100.277511
-18.454349,1200,101.721718
-10.588102,1200,104.722006
-18.228105,1200,106.125219
-7.559803,1200,108.806795
-11.395006,1200,111.452736
-6.118915,1200,112.915235
4.268064,1200,115.629699
1.625251,1200,117.129817
-8.371925,1200,119.776862
-5.729608,1200,122.437307
13.446653,1200,123.880737
-11.61287,1200,126.517954
9.518956,1200,127.947473
-0.92435,1200,130.657613
-15.005122,1200,132.089459
-32.578375,1200,134.823904
17.417779,1200,137.459004
15.58015,1200,138.866785
-5.28963,1200,141.566071
0.807604,1200,143.037681
2.518673,1200,145.857984
6.351627,1200,148.449745
-6.529739,1200,149.905515
-2.084413,1200,152.555521
-4.121717,1200,154.037673
-15.52881,1200,156.665373
-10.45346,1200,159.280231
4.604797,1200,160.683942
19.063172,1200,163.2793
-23.292526,1200,164.811305
-1.74247,1200,167.459862
-13.096336,1200,168.856323
26.003914,1200,171.524997
-12.588016,1200,174.167625
-7.683808,1200,175.652564
-6.682572,1200,178.428551
-13.376026,1200,179.918416
7.396655,1200,182.610501
-9.425405,1200,185.261915
-0.770633,1200,186.745611
-5.578045,1200,189.81609
1.576228,1200,191.3515
-17.506831,1200,193.97004
-14.507133,1200,195.423835
-6.147504,1200,198.064846
-15.960721,1200,200.691636
-8.957356,1200,202.135819
20.871934,1200,204.92863
-12.381283,1200,206.333199
9.464638,1200,208.970224
-5.799934,1200,211.590336
3.001104,1200,213.005173
-9.256774,1200,215.702917
-0.488429,1200,217.151965
-0.398418,1200,219.80256
-1.610556,1200,221.279948
-12.714891,1200,223.912958
31.339901,1200,226.60463
-7.360282,1200,228.060544
12.956045,1200,230.728167
-11.691392,1200,232.153087
-12.778994,1200,234.943002
17.113411,1200,237.801848
10.791677,1200,239.179514
-5.837581,1200,241.882036
-5.38931,1200,243.295944
-16.475832,1200,245.956789
-6.389161,1200,248.618576
-0.211288,1200,249.991311
-3.163631,1200,252.594328
10.40934,1200,254.033418
2.331011,1200,256.705374
-4.33208,1200,258.106486
48.42977,1200,260.804344
5.807104,1200,263.548428
-6.829066,1200,264.969939
-17.929785,1200,268.150642
0.276895,1200,269.541081
13.448788,1200,272.237762
4.408704,1200,274.917715
-1.179081,1200,276.358271
11.597234,1200,278.99867
5.313972,1200,280.418797
16.899057,1200,283.054506
-11.089623,1200,284.477226
8.454766,1200,287.075285
-22.188554,1200,289.761046
-1.459033,1200,291.171677
24.919747,1200,293.930638
1.943702,1200,295.301605
-2.722341,1200,297.89939
8.372859,1200,300.554812
-1.058747,1200,301.97396
-12.908585,1200,304.60238
7.004401,1200,306.004505
-10.215202,1200,308.667082
0.755729,1200,311.304223
-14.304096,1200,313.006988
-3.887971,1200,315.70889
-0.768457,1200,317.196774
-8.492239,1200,319.796926
24.423455,1200,321.239895
-7.58186,1200,323.888239
0.066292,1200,326.634961
25.924788,1200,328.060606
3.376513,1200,330.754155
88.329924,121,330.972612
-4.959229,1200,332.425617
7.548851,1200,335.03573
19.987879,1200,337.679528
-3.287495,1200,339.086188
31.7406,546,339.727253
-11.165643,1200,342.288373
-5.165524,1200,344.973491
-10.099489,1200,346.446638
-0.395737,1200,349.070225
-18.395727,1200,350.627963
45.028988,1182,353.38338
-20.737368,1200,356.09556
-8.239336,1200,357.508498
-4.518531,1200,360.159962
7.647699,1200,361.579053
-16.159921,1200,364.392411
1.869057,1200,365.844121
26.103972,1200,368.604361
27.59928,1200,371.289492
-3.373715,1200,372.725809
-4.443087,1200,375.393668
-22.170361,1200,376.863374
-18.620795,1200,380.225293
14.699998,1200,382.880793
2.531633,1200,384.293128
-4.744318,1200,386.92139
-4.784261,1200,388.355342
-2.729274,1200,391.076283
-7.945971,1200,393.732138
-4.715328,1200,395.140324
-7.969348,1200,397.831164
-6.971237,1200,399.277937
1.710225,1200,402.120575
-9.260326,1200,403.560809
-2.29793,1200,406.309066
-2.547759,1200,408.940323
-8.693144,1200,410.352314
4.881119,1200,412.96909
25.637414,793,413.974188
-9.726791,1200,416.586844
-5.876314,1200,418.005437
-7.740442,1200,420.550061
-11.346678,1200,423.187249
-1.926036,1200,424.530081
-0.199393,1200,427.390348
-11.759735,1200,428.869003
-5.011871,1200,431.712254
-1.502233,1200,433.200097
-16.49042,1200,435.919945
-12.773612,1200,438.801336
-4.627178,1200,440.225236
-11.835575,1200,442.989532
