r,l,t
8.637189,1200,13.00107
48.403356,1200,26.894383
-10.052564,1200,40.685106
-6.91578,1200,54.543294
-6.035083,1200,68.288168
-8.350544,1200,82.165273
-4.226081,1200,96.31318
-56.526046,698,104.510218
45.168658,495,110.250324
1.952009,1200,124.181786
-13.710557,1200,138.110883
-14.903028,1200,152.017585
-2.978927,1200,165.945863
-28.621487,1200,179.819587
-7.301213,1200,193.675738
-24.039982,1200,207.395802
42.989329,1200,221.289716
-12.888549,1200,235.414187
-24.369982,1200,250.242307
-11.06857,1200,264.581889
4.659914,1200,278.302702
-26.524919,1200,292.324722
7.690918,1200,306.270297
-2.067095,1200,320.354154
-1.296004,1200,334.276476
-61.041218,1200,348.388421
-13.125746,1200,362.224866
-15.618337,1200,376.132669
20.845837,625,383.311367
-6.133606,1200,397.187495
-19.977803,1200,410.953294
23.623361,94,412.03928
-33.772424,1200,425.943012
-12.178845,1200,439.810615
-14.713364,1200,453.588371
-31.093908,1200,467.327594
-41.394015,1200,481.301783
-11.327137,1200,495.191388
-19.24629,1200,508.893217
30.024591,1200,522.738287
27.099833,48,523.288639
-53.808004,1022,535.093308
-5.555965,1200,548.798414
-30.406052,1200,562.622875
52.509412,1200,576.498183
-23.392587,1200,590.31114
-2.666533,1200,604.064547
-50.91369,1200,617.805159
-11.096732,1200,631.688389
-11.919871,1200,645.598201
-29.055832,1200,659.538911
-16.962576,1200,673.377048
-31.13737,1200,687.265186
-62.049227,1200,701.257952
-11.166061,1200,715.460809
60.817443,1200,729.736759
-22.389961,1200,743.880904
-21.768115,1200,757.97537
-27.959344,1200,772.05922
8.297084,1200,786.080757
-5.931589,1200,800.438775
-6.584703,1200,814.620532
-18.502876,1200,828.763198
-18.905235,1200,842.820714
-15.880794,1200,856.900756
-14.109375,1200,870.97504
-33.032897,1200,884.952924
-10.171412,1200,899.129751
-18.584427,1200,913.269614
-39.590877,1200,927.217806
-17.354372,495,932.97254
-17.690864,1200,946.841732
-5.481587,1200,960.827299
-15.019002,1200,974.991896
-16.690334,1200,989.018059
-21.577484,1200,1003.07895
39.898615,1200,1017.03631
-25.361531,1200,1030.985705
-39.396457,1200,1044.958783
-25.211576,1200,1059.243435
-32.677777,1200,1073.005606
-32.766073,1200,1086.899114
-33.127854,1200,1100.982064
-78.510754,1145,1114.206905
2.724205,1200,1128.235207
-21.633195,1200,1142.284542
-8.262492,1200,1156.184224
-8.400744,1200,1170.15027
-24.039891,1200,1183.997632
-8.534049,1200,1197.939965
63.461783,373,1202.225943
3.048306,1200,1216.054395
-14.174027,1200,1230.127226
5.938875,1200,1244.015645
-15.490421,1200,1258.06469
-21.940201,1200,1272.10316
-22.628879,1200,1286.192846
-17.693819,1200,1300.083275
-14.326358,1200,1314.083866
-24.463103,1200,1328.341211
-24.154532,1200,1342.425322
-88.22714,1200,1356.715257
-3.526599,1200,1370.688082
10.689641,1200,1384.599679
-23.501441,1200,1398.658308
-31.156521,1200,1412.658683
-32.67705,1200,1426.780836
28.752648,85,1427.740247
-19.495979,1200,1441.526367
11.644352,1200,1456.332044
-15.101915,1200,1470.272302
29.864924,1200,1483.981533
-7.164567,1200,1497.901369
-15.986068,1200,1511.833801
-16.84373,1200,1525.652856
-25.764087,1200,1539.760259
-18.184996,1200,1553.808074
48.261428,874,1563.942964
-26.574957,1200,1577.94814
-10.153768,1200,1592.05234
-18.297849,1200,1605.961603
-32.512596,1200,1620.029712
-54.27793,399,1624.674443
-21.704111,1200,1638.731017
-19.380446,1200,1652.721411
-11.704909,1200,1666.903769
-13.132702,1200,1681.018277
-24.664927,1200,1694.976592
-5.866597,1200,1708.794348
-31.814738,1200,1722.520154
-7.371996,1200,1736.398125
21.270552,1200,1750.435832
24.88681,576,1757.391128
-19.423832,1200,1771.381143
-21.949968,1200,1785.360344
-7.521967,1200,1799.396428
10.554028,1200,1813.379277
-15.904689,1200,1827.257159
-16.157287,1200,1841.16256
-2.701934,1200,1855.170994
-14.681458,1200,1869.322904
22.833866,1200,1883.503235
-5.042783,1200,1897.361215
-23.684118,1200,1911.429169
-9.810245,1200,1925.537405
-11.755016,1200,1939.921583
-26.533886,1200,1953.819242
-12.499339,1200,1967.715837
-36.147481,1200,1981.716407
82.108109,1062,1994.242334
-20.491957,1200,2008.752709
-12.869313,1200,2023.418622
