r,l,t
-3.503504,1200,7.84798
-13.631587,1200,16.45855
-18.913405,1200,24.963778
-33.675906,1200,33.439852
-24.906879,1200,41.95575
-15.856528,1200,50.469892
2.105052,1200,58.994925
11.472409,1200,67.401412
-13.678403,1200,76.007633
10.983466,1200,84.584406
-5.94342,1200,93.04917
-7.000131,1200,101.482401
-9.188865,1200,109.983542
-13.233571,1200,118.449373
1.546139,1200,126.953261
-14.430619,1200,135.659197
-1.186716,1200,144.427502
68.455183,1200,152.855849
15.463536,54,153.235262
-26.178432,1200,161.727158
-11.652633,1200,170.341526
-10.846325,1200,178.887114
32.332249,1200,187.383556
20.021091,1200,195.878565
-6.7781,1200,205.413822
-33.660715,1200,214.000893
-21.531601,1200,222.50265
-6.974857,1200,231.061447
-74.984686,1036,238.382754
8.421018,1200,246.932086
-18.061801,1200,255.426893
-12.417588,1200,263.886987
62.041809,1056,271.292321
44.19715,1200,279.869716
42.499563,183,281.162914
-25.218414,1200,289.693762
-9.442251,1200,298.797074
-12.881691,1200,307.255903
48.184105,541,311.033463
13.202294,1200,319.608828
53.463583,1200,328.082878
-52.863605,1015,335.307165
-2.928088,1200,343.897802
-13.931155,1200,352.358366
35.526557,1200,360.821444
-38.476787,1200,369.2621
-28.876566,1200,377.659979
69.342734,908,384.227526
41.070234,1200,392.656745
-36.547573,1200,401.168785
40.641512,1200,410.013124
-19.452213,1200,418.410138
35.718957,1200,426.990802
-13.592783,1200,435.517932
-34.318385,1200,444.04593
-23.994291,1200,452.582306
-16.556204,1200,461.067542
-1.428262,1200,469.635638
64.901141,729,474.81784
61.081794,1200,483.32937
-35.058638,1200,491.911712
-21.616737,1200,500.357909
-35.050946,1200,508.899123
-1.847644,1200,517.509175
-19.334018,1200,526.031396
-7.196028,586,530.184646
34.011722,1200,538.707874
91.91335,472,542.083393
-17.824803,1200,550.516912
19.735231,1200,558.957629
-3.53446,1200,567.393909
19.063446,1200,575.829047
-19.539792,1200,584.333842
-9.893713,1200,592.835226
-24.70318,1200,601.368837
0.658321,1200,609.871931
-7.050376,1200,618.526727
9.090548,1200,627.087119
-58.894358,1200,635.580909
-26.239764,1200,644.065835
-20.130011,1200,652.623711
-24.86442,1200,661.208886
17.257674,1200,669.844382
-43.734127,1200,678.419752
19.565876,1200,686.868228
1.307823,1200,695.420559
-30.22334,1200,703.917855
-17.608098,1200,712.385726
29.701166,1200,720.803784
-35.20161,1200,729.275019
-13.642769,1200,737.871739
-4.947181,1200,746.522128
14.868338,1200,755.093664
-19.413297,181,756.380057
26.079377,1200,764.864834
-48.43892,1200,773.400775
21.908087,1200,781.995606
50.552568,1200,790.550551
38.805497,1200,799.046149
-23.101851,1200,807.554804
6.772625,1200,816.03227
-11.481409,1200,824.547809
76.47285,540,828.338972
-10.009844,1200,836.702758
54.307421,84,837.293546
-16.221508,1200,845.648831
10.597534,1200,854.440947
66.75231,1200,862.970847
40.486556,67,863.449696
-51.221665,1200,871.974804
-24.996197,1200,880.546232
63.667033,756,885.811992
30.707999,1200,894.317782
-63.646151,1200,902.786898
-16.984507,1200,911.266063
-65.598728,1200,920.150862
-24.512394,1200,928.554736
64.319942,1200,937.093804
-17.474434,1200,945.509964
-30.929958,1200,954.043611
-28.638181,1200,962.502453
71.872032,304,964.655186
30.402379,1200,973.184083
-54.138755,135,974.143936
-14.460597,1200,982.632843
-18.808609,1200,991.101736
68.601473,1200,999.599919
-48.779005,1200,1008.088421
58.672844,292,1010.158954
9.825045,1200,1018.647272
-5.770401,1200,1027.132826
71.436709,251,1028.908884
-7.925818,1200,1037.506778
-16.113395,1200,1046.052401
-35.756864,1200,1054.5569
56.361731,1200,1063.210111
-20.089422,1200,1071.757522
41.376328,1200,1080.184672
54.348105,1200,1088.729044
80.184873,1200,1097.220424
-28.143776,1200,1105.711833
-43.038151,1200,1114.294628
-35.493466,1200,1122.947798
-7.260972,1200,1131.710099
-10.807882,1200,1140.23313
-8.291673,1200,1148.739438
-55.984457,1200,1157.268071
22.04158,1200,1165.777005
-21.243049,1200,1174.327983
-41.015357,1200,1183.120953
-55.212917,408,1186.036581
17.684941,1200,1194.945482
28.080843,49,1195.288692
-11.878461,1200,1203.785741
39.234254,1200,1212.928743
-11.318843,119,1213.772124
55.852887,1200,1222.334787
44.589815,631,1226.879814
-30.221763,1200,1235.647385
-25.616954,1200,1244.352559
51.490172,1200,1253.119157
0.498418,1200,1261.715329
-23.870935,1200,1270.280988
-12.624854,1200,1278.935098
85.452702,1200,1287.42419
-51.568456,1200,1296.041229
-31.399437,848,1302.032139
-28.95557,1200,1310.546399
-7.536637,1200,1319.170055
3.180349,1200,1327.694786
-51.365339,53,1328.073338
-59.32872,1200,1336.548224
45.087783,1200,1345.112075
-44.246015,1200,1353.638619
12.168703,1200,1362.107886
28.208402,1200,1370.634234
-8.089362,1200,1379.186764
-13.99853,1200,1387.963717
-12.526405,1200,1396.481551
-26.475504,1200,1405.039961
57.933447,1200,1413.595384
33.396748,1200,1422.076721
85.126992,426,1425.096214
-11.978176,1200,1433.811248
32.665152,1200,1442.438616
82.431359,1200,1451.036104
-1.489235,1200,1459.547997
-27.922651,1200,1468.165682
-34.667535,220,1469.732993
23.563915,34,1469.985126
90.235029,1001,1477.093179
45.33393,1200,1485.645016
24.651131,1200,1494.497669
85.97336,1200,1503.086664
79.926345,225,1504.698052
4.621166,1200,1513.347101
41.309204,569,1517.531686
-22.161488,240,1519.253491
-16.264904,1200,1527.800872
-20.594674,1200,1536.363844
17.763396,1200,1544.920143
72.924748,1200,1553.538648
-35.246581,1200,1562.205799
-21.587244,1200,1570.722799
-25.681588,1200,1579.298148
-22.593581,1200,1587.703164
-28.854474,1200,1596.233749
-8.734878,1200,1604.832758
-13.953456,1200,1613.410921
29.283863,1200,1621.945004
-35.623867,1200,1630.620187
-36.764423,1200,1639.276611
-28.202523,1200,1647.858053
-5.557551,149,1648.933955
101.233538,948,1655.659531
-19.670801,1200,1664.23575
-25.293173,1200,1672.885447
25.763049,1200,1681.469972
30.183355,1200,1689.93567
-15.612107,1200,1698.620862
-29.902588,1200,1707.207055
-2.958926,1200,1715.737896
8.710997,1200,1724.330598
62.095434,1200,1732.875243
63.37591,1200,1741.42498
-17.994004,1200,1750.602312
-28.347084,1200,1759.067495
-10.192265,1200,1767.65225
39.764647,1200,1776.247734
35.96679,1200,1784.751735
6.155064,1200,1793.230013
12.318712,1200,1801.805038
-3.161183,1200,1810.31296
6.909722,1200,1818.849042
-18.507751,1200,1827.619693
-16.134931,1200,1836.322919
-26.273366,1200,1844.866735
-38.986749,1200,1853.410363
-14.904008,1200,1862.108943
-27.886788,1200,1870.839182
-31.224185,1200,1879.819227
-29.91732,1200,1888.479099
-14.620008,1200,1897.169844
-34.735586,1200,1905.749892
8.608027,1200,1914.550285
15.683402,1200,1923.245165
-38.267979,1200,1931.888383
18.730409,1200,1940.658319
