r,l,t
-2.810023,1200,1.472233
-7.51923,1200,4.141584
50.988984,1029,5.373942
-39.053703,957,7.920717
-7.190345,1200,9.293429
-51.309389,1200,12.150522
-1.278212,1200,13.54994
-5.161572,1200,16.370173
-7.078729,1200,19.14849
-24.26628,1200,20.556221
-47.903314,1200,23.246485
-18.664615,1200,24.624348
-18.807465,1200,27.15902
-13.902628,1200,29.749182
-8.017178,1200,31.20683
-15.314285,1200,33.867208
-17.987154,1200,35.277068
-19.739485,1200,37.918244
-18.327458,1200,39.350576
-17.711317,1200,41.928124
-44.209677,1200,44.566796
-16.752639,1200,45.998377
-18.623326,1200,48.760839
-10.765909,1200,50.179971
37.842358,1200,52.970022
-19.450983,1200,55.691028
-27.361006,1200,57.15063
7.388964,1200,59.867198
-9.853916,1200,61.303148
-22.511726,1200,63.947872
26.863622,1200,65.407877
0.40847,1200,68.04281
-50.671586,88,68.1464
-3.082884,1200,70.805075
-5.426423,1200,72.208447
32.024106,1200,74.887328
-14.814347,1200,76.354603
-13.210653,1200,79.3845
-27.069882,1200,82.119993
-20.583795,1200,83.540433
28.609181,1200,86.224194
-7.559075,1200,87.608099
-21.661317,1200,90.301733
-17.298543,1200,92.942969
-21.66977,1200,94.366292
-18.918272,1200,97.0259
-23.864373,1200,98.438308
-21.453429,1200,101.122988
-20.232034,1200,102.515191
-8.559376,1200,105.236119
-21.673604,1200,107.924127
41.043139,379,108.365012
-17.155269,1200,109.805728
-4.795197,1200,112.42413
-14.565836,1200,115.077131
-11.495069,1200,116.522143
7.038727,1200,119.189034
-20.09324,1200,120.822922
-33.405856,1200,123.546919
-24.488603,1200,126.306835
-22.661527,1200,127.708149
-21.151293,1200,130.361396
83.868875,652,131.128524
-25.313214,1200,133.881414
5.480259,1200,135.338705
26.191503,151,135.523337
-22.70678,1200,138.207854
-26.031986,1200,139.681869
-5.689376,1200,142.411928
-26.004021,1200,145.082162
-14.941777,1200,146.583183
53.799327,91,146.698146
-25.809945,1200,149.628535
-25.079373,1200,151.085552
-17.294321,1200,153.805335
-18.825843,1200,156.556585
-16.321768,1200,158.059938
-22.926751,1200,160.715537
-7.670324,1200,162.108782
-16.120199,1200,165.102276
-22.103176,1200,166.523006
-12.474375,1200,169.223772
3.404719,1200,172.01104
-0.59959,1200,173.436034
-36.917122,1200,176.104729
-9.453529,1200,177.502192
-17.866703,1200,180.202603
43.741934,1200,183.00674
-5.114446,1200,184.590954
-15.64113,1200,187.254413
-20.271543,1200,188.746141
-18.391263,1200,191.418588
-31.325474,1200,194.090965
14.02079,1200,195.501395
-18.050235,1200,198.151505
-24.736739,1200,199.553697
-30.699552,1200,202.368444
-15.43735,1200,204.42643
-31.968475,1200,207.068624
-12.526053,1200,209.707542
32.606434,1200,211.193691
