time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates,train/approx_kl,train/std,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
3,1200.0,522,1,2048,-14.851249,,,,,,,,,,,,,
9,1200.0,442,2,4096,-14.749856333333334,0.029674120247364044,10,0.019529782,0.9793075919151306,0.14870998226106166,-0.09676015377044678,-0.014434016190352849,0.003,0.179150390625,-2.8077027671039105,0.2,,
14,1200.0,418,3,6144,-11.158063799999999,0.0065542347729206085,20,0.016198935,0.9690037965774536,0.20637130594113842,0.20012789964675903,-0.010521968664397719,0.003,0.176318359375,-2.7871781691908835,0.2,,
20,1200.0,409,4,8192,-14.830081833333333,0.15421521663665771,30,0.017485887,0.9372327327728271,0.4556925240205601,0.1932862401008606,-0.011306829051318346,0.003,0.186962890625,-2.7306126810610296,0.2,,
25,1200.0,401,5,10240,-13.309744375000001,0.12415749579668045,40,0.008336408,0.9763756990432739,1.0529034613631665,0.2727179527282715,-0.00579221352818422,0.003,0.10576171875,-2.7633455611765383,0.2,,
30,1200.0,398,6,12288,-13.7368267,0.04395277798175812,50,0.014265543,0.9880466461181641,0.33108825620729476,-1.0518527030944824,-0.008469695247185882,0.003,0.1322265625,-2.8160535618662834,0.2,,
36,1200.0,396,7,14336,-12.873179272727272,0.04807092994451523,60,0.013908945,0.9860280752182007,0.17478852740023285,0.3586854338645935,-0.007342154809157364,0.003,0.16328125,-2.8015582986176013,0.2,,
41,1200.0,395,8,16384,-14.256075538461538,0.05321725457906723,70,0.0136506595,0.9980354309082031,0.14209414169890805,0.839515820145607,-0.007368311593018007,0.003,0.140966796875,-2.84221411421895,0.2,,
46,1200.0,394,9,18432,-14.931315066666665,0.23389075696468353,80,0.016403612,1.0034377574920654,0.6583518215455115,0.6085187196731567,-0.013945732911452069,0.003,0.161767578125,-2.8534222967922687,0.2,,
52,1200.0,393,10,20480,-14.739088470588236,0.06493023037910461,90,0.015640453,1.002554178237915,0.195186686119996,0.1126868724822998,-0.011704522746731527,0.003,0.158837890625,-2.8372451439499855,0.2,,
57,1164.0,392,11,22528,-15.374482,0.01372949592769146,100,0.01841268,1.0056565999984741,0.22916028674226255,0.584367424249649,-0.015525148874439764,0.003,0.1685546875,-2.843320979177952,0.2,,
62,1167.4285714285713,392,12,24576,-14.827313666666665,0.021126791834831238,110,0.018599402,0.9777228832244873,0.2469816248281859,0.34739047288894653,-0.011392443870136049,0.003,0.203857421875,-2.7937655314803123,0.2,,
68,1168.909090909091,391,13,26624,-14.901646590909092,0.05691959336400032,120,0.027553663,0.984276533126831,0.29438383164815607,0.6069296300411224,-0.00957798020244809,0.003,0.21279296875,-2.809350310266018,0.2,,
73,1171.5,391,14,28672,-11.987758458333332,0.05698338896036148,130,0.026500292,0.9499468207359314,0.22279468044871464,0.7273901998996735,-0.016527094235061667,0.003,0.25078125,-2.7362554922699927,0.2,,
78,1173.6923076923076,391,15,30720,-12.033912346153844,0.04408721253275871,140,0.022815932,0.9493511319160461,0.2870492132846266,0.6941654086112976,-0.011216370700276456,0.003,0.19951171875,-2.7403799749910833,0.2,,
83,1174.6666666666667,391,16,32768,-12.562584666666666,0.06673122942447662,150,0.0271726,0.9644699692726135,0.14916893254267052,0.7906886488199234,-0.014536754970322363,0.003,0.2279296875,-2.773040170222521,0.2,,
88,1176.4137931034484,391,17,34816,-11.901653137931035,0.07622542977333069,160,0.022205975,0.9839588403701782,0.39538365427870303,0.5645187199115753,-0.011911260127089918,0.003,0.211474609375,-2.7891065515577793,0.2,,
