r,l,t
-33.304975,1200,8.190474
-26.353491,1200,16.991953
-14.709747,1200,25.784709
-17.870873,1200,35.822941
-21.759222,1200,44.781862
-21.615663,1200,53.554471
-33.741978,1200,62.25308
-26.491724,1200,70.836276
-29.275237,1200,79.662007
2.047541,1200,90.105697
-31.933445,1200,98.773222
-31.488236,1200,107.336137
-32.081596,1200,116.072041
-22.923645,1200,124.920081
-30.492968,1200,133.760267
12.799909,1200,142.521175
-27.133927,1200,153.556955
-37.047275,1200,162.474112
-24.039866,1200,171.26984
-29.545673,1200,179.884756
-24.684037,1200,188.597214
-23.423131,1200,197.286926
-24.728061,1200,205.874687
-24.11809,1200,214.573539
-24.717183,1200,223.406323
-33.673038,1200,233.740468
-24.807438,1200,242.50967
-29.974853,1200,251.280791
-29.832735,1200,259.879909
-31.127799,1200,268.514272
-23.157169,1200,277.049675
-33.059022,1200,285.623745
-37.933131,1200,294.805332
-27.89436,1200,303.313012
-28.710545,1200,312.016285
-33.598826,1200,320.679655
-34.74724,1200,329.476993
-23.440202,1200,338.28985
-27.005605,1200,347.093807
-25.471412,1200,355.832529
-33.893827,1200,364.613859
-35.075353,1200,373.390882
-32.843215,1200,382.440123
-21.487253,1200,391.46001
67.237544,131,392.465338
-24.18951,1200,401.342688
-23.033296,1200,410.300239
-24.796896,1200,419.429088
-19.577066,1200,428.367545
-31.440201,1200,437.315004
-28.920228,1200,446.365158
-27.415705,1200,455.453718
-36.171183,1200,464.519985
-17.340971,1200,473.934359
-30.396477,1200,483.038756
-37.054438,1200,492.071447
-23.779708,1200,501.116614
-23.103763,1200,510.250218
-44.731868,1200,519.215775
-21.91864,1200,528.519298
-41.218494,1200,537.755616
-25.619729,1200,546.946388
-51.409932,132,547.926457
-28.008394,1200,556.977666
-33.892821,1200,565.915346
-23.403659,1200,574.758367
-35.837785,1200,583.657304
-36.46837,1200,594.099877
-50.24129,1200,602.862677
-21.527317,1200,611.667555
-24.891519,1200,620.493229
-29.653773,1200,629.346254
-78.036771,1200,638.024815
-55.339932,143,639.055251
-79.059159,1200,647.816314
-28.79862,1200,656.544407
-39.876482,1200,666.343861
-23.742638,1200,674.992021
40.211955,459,678.293354
4.769109,1200,686.972985
-18.465822,1200,695.845348
-78.759573,1200,704.550554
-36.294896,1200,713.169557
-25.833869,1200,721.776513
-30.445635,1200,730.671265
-26.142257,1200,739.413164
-17.884789,1200,748.080035
-41.224845,1200,758.553443
-25.700397,1200,767.317204
-26.576317,1200,776.010845
-16.096349,1200,784.666076
2.737157,1200,793.381401
-20.549282,1200,802.068451
-37.139779,1200,810.91966
-13.760419,1200,819.672255
-27.648254,1200,828.337633
-15.876957,1200,837.178546
-32.884518,1200,845.914364
-21.716018,1200,854.537044
-23.698776,1200,863.302303
-18.460065,1200,872.051051
-20.780804,1200,880.717165
-24.716712,1200,889.473962
-37.88688,30,889.689797
-26.695617,1200,898.378521
-26.605698,1200,907.173355
-29.525229,1200,915.95951
-26.745367,1200,924.698645
-17.319421,1200,933.433149
-26.970798,1200,942.104642
-27.731089,1200,950.799024
3.284827,1200,959.538215
-23.742619,1200,968.450914
-24.819501,1200,977.215587
-25.928705,1200,986.022777
-21.351522,1200,994.728962
-29.209012,1200,1003.740106
-25.382923,1200,1012.71474
-23.810057,1200,1021.500372
-30.050579,1200,1030.30163
-27.362945,1200,1039.211155
-73.293794,1200,1048.108985
-28.082895,1200,1057.03997
-53.842962,1200,1065.842135
-23.577204,1200,1074.639967
-32.59346,1200,1083.362958
-26.459967,1200,1092.031292
-21.755398,1200,1100.790222
-26.737795,1200,1109.492676
-24.584685,1200,1118.213222
-23.769761,1200,1126.920636
-23.343171,1200,1135.562076
-11.791988,1200,1144.219726
-27.23613,1200,1152.910176
-32.060749,1200,1161.663218
-25.042518,1200,1170.406577
-28.742746,1200,1179.342884
-7.492311,1200,1189.505287
-36.547659,1200,1198.149365
-26.971247,1200,1207.082215
-36.682893,1200,1215.902017
-21.468387,1200,1225.055822
-25.923613,1200,1233.776298
-38.28325,1200,1242.626302
-17.538321,1200,1251.601623
-32.459344,1200,1260.496115
-35.665006,1200,1269.419266
-28.709528,1200,1278.321555
-31.179386,1200,1287.183183
-35.199474,1200,1297.219192
-20.551362,1200,1305.962802
-28.35662,1200,1314.948574
-22.83955,1200,1323.92555
-24.041115,1200,1332.7201
-61.741812,1200,1341.573543
-25.175724,1200,1350.890267
-23.496723,1200,1359.793726
-32.970511,1200,1368.728173
-6.484848,1200,1377.583802
-37.480898,1200,1386.499094
-23.53538,1200,1395.197907
-28.740279,1200,1404.08428
-32.154181,1200,1412.864555
-26.087999,1200,1421.676108
-22.735263,1200,1430.632998
-44.224996,1200,1439.658812
-29.294414,1200,1448.463229
-20.967207,1200,1457.550317
-23.468346,1200,1466.507794
-22.729512,1200,1475.398963
-24.905917,1200,1484.312943
-31.47588,1200,1493.569342
-24.304485,1200,1502.539329
-22.746067,1200,1511.212553
-23.789616,1200,1519.779656
-26.239106,1200,1528.590261
-13.716101,1200,1537.503244
-36.498178,1200,1546.271176
-16.385614,1200,1554.982306
-13.597155,1200,1563.734154
-2.287816,1200,1572.478989
-29.243308,1200,1581.513043
-28.496,1200,1590.40134
-34.427186,1200,1599.555999
-48.126401,1200,1608.201225
-40.272498,1200,1616.969764
-32.307818,1200,1625.820735
-43.790918,1200,1634.862677
-16.603647,1200,1643.567362
-28.28751,1200,1652.194959
-29.12304,1200,1660.873777
-27.634941,1200,1669.577951
-22.717291,1200,1678.292249
-79.059994,1200,1686.860204
-25.199086,1200,1695.588715
-24.666459,1200,1704.324299
-23.4412,1200,1713.022043
-31.211752,1200,1721.621261
-33.04303,1200,1731.42151
-34.874171,1200,1740.18734
-26.933851,1200,1748.89034
-25.942696,1200,1757.466986
-25.421877,1200,1766.245351
-27.867045,1200,1774.886828
-14.004102,1200,1783.632186
-25.409106,1200,1792.339631
-28.579682,1200,1800.894046
40.24095,1200,1810.183201
-25.213848,1200,1818.905224
-27.492823,1200,1827.641849
-22.32571,1200,1836.633908
-45.739886,1200,1845.246766
-11.907294,1200,1854.033933
-35.57797,1200,1862.815806
-30.15747,1200,1871.572702
-23.355552,1200,1880.139825
-20.72903,1200,1888.817825
-36.138659,1200,1897.433737
-27.14619,1200,1906.215594
-31.55813,1200,1914.806032
-57.74312,1200,1923.562643
-27.787586,1200,1932.160687
-45.854928,1200,1940.877373
-23.454461,1200,1949.497963
-22.515377,1200,1958.097117
-33.846504,1200,1966.685198
-29.355057,1200,1975.26791
-28.929692,1200,1984.020734
-28.451783,1200,1993.54847
-50.322928,1200,2002.516675
-43.328634,1200,2011.39388
-22.067139,1200,2020.062301
-28.58948,1200,2028.765761
-27.684605,1200,2037.346599
-21.932383,1200,2046.187197
-26.819122,1200,2054.897071
-38.913893,1200,2063.681132
-44.40322,1200,2072.259309
-17.843218,1200,2081.041755
