r,l,t
-10.595747,1200,1.457269
-8.640424,1200,4.087908
-20.284083,1200,5.905825
-22.340557,1200,8.573081
-13.818516,1200,9.989249
-21.40523,1200,12.688338
-11.986739,1200,15.382191
-14.522357,1200,16.80397
-21.365729,1200,19.484721
-16.778945,1200,20.948787
-12.917433,1200,23.587095
-4.655327,1200,26.247752
-21.14809,1200,27.697008
-10.022171,1200,30.407428
-20.633925,1200,31.838111
-14.958604,1200,34.449731
-8.577744,1200,35.869264
-7.985718,1200,38.549466
-58.513529,1200,41.17117
-10.279013,1200,42.607067
-9.676898,1200,45.325104
-25.312966,1200,46.785517
-10.827608,1200,49.615098
-6.731937,1200,52.283764
-19.108637,1200,53.763203
-1.452112,1200,56.405622
8.360631,1200,57.850521
23.764917,541,59.728786
-8.420589,1200,61.145813
-6.044639,1200,63.786171
-24.657162,1200,65.347111
-11.336784,1200,67.928846
-51.508689,1200,70.553653
-27.31193,1200,71.971427
16.759429,1200,74.600077
-6.089207,1200,76.054021
21.446856,1200,78.711731
-7.060442,1200,80.152396
7.28312,1200,82.822129
8.267004,1200,85.517742
-13.006715,1200,86.949856
-38.930085,1200,89.572475
-13.752866,1200,91.035873
1.638756,1200,93.77687
-2.030467,1200,96.463439
-23.706372,458,97.006094
-8.991458,1200,98.443447
-3.033763,1200,101.111312
-26.351538,1200,103.744703
-16.457963,1200,105.187728
-4.592856,1200,107.881373
-1.901805,1200,109.39387
-20.242909,1200,112.040563
15.899935,1200,113.509677
-5.394863,1200,116.098196
-10.579077,1200,118.752362
-16.803235,1200,120.155224
-14.144406,1200,122.792249
-9.27616,1200,124.217458
-20.470291,1200,126.873156
-7.135138,1200,129.49938
3.595149,1200,130.893656
-9.617046,1200,133.560026
-11.359921,1200,134.986961
-7.157825,1200,137.590708
-3.637104,1200,139.001987
69.418364,1200,141.609977
8.318382,1200,144.32926
-7.05003,1200,145.7224
-20.559579,1200,148.378027
-14.684641,1200,150.638404
-7.935947,1200,153.317497
-3.8323,1200,155.946231
-26.787993,1200,157.395673
-42.688112,1200,160.083047
-7.865055,1200,161.585544
9.447089,1200,164.326061
-8.76991,1200,167.133743
-5.690666,1200,168.636381
-9.247988,1200,171.511986
-1.112592,1200,172.957907
-13.806749,1200,175.712372
-8.735613,1200,177.160659
-36.052086,113,178.52591
-6.722179,1200,179.940788
-28.316251,1200,182.991886
-9.6599,1200,184.454124
-6.555739,1200,187.173841
-1.061237,1200,188.690207
-3.837303,1200,191.285129
-11.313109,1200,194.04091
-16.479199,1200,195.520746
49.572434,1200,198.193464
-9.115529,1200,199.639939
3.421239,1200,202.300576
-5.727846,1200,204.930027
-20.571244,150,205.113134
-12.968011,1200,206.559368
9.0079,1200,209.282007
47.577819,1200,210.744607
-13.69462,1200,213.415166
-3.94882,1200,216.130994
-12.692867,1200,217.643083
