r,l,t
4.900538,1200,15.739886
-3.471291,1200,29.55936
-7.108028,1200,43.735008
-1.258121,1200,57.786047
-3.091818,1200,71.635119
3.802999,1200,85.36794
42.07784,545,91.732793
19.862915,1200,106.066601
-10.336126,1200,120.096229
-21.00274,1200,134.024616
-4.420651,1200,147.904096
24.877326,1200,161.792068
11.165889,1200,175.494192
44.32348,115,176.834952
-12.479326,1200,190.656556
-20.697474,1200,204.606527
-7.018859,1200,218.584026
19.895408,1200,232.521142
-12.868236,1200,246.390748
-1.505141,1200,260.442818
-19.435123,1200,274.355114
-21.084831,307,277.902657
28.619168,1200,291.908561
1.259678,1200,305.775933
6.061717,1200,319.991086
25.833114,1200,333.674615
-39.642328,1200,347.620749
1.883254,1200,361.436102
-8.700448,1200,375.173061
-9.412722,1200,388.937337
-22.677979,1200,402.577911
-2.73566,1200,416.260535
-22.246633,1200,430.085459
-8.404168,1200,443.968219
-12.909321,1200,457.806248
0.052056,1200,471.668215
-19.921062,1200,485.552851
-14.240472,1200,499.429842
-63.910945,238,502.16434
-61.691834,1200,516.030545
4.522742,1200,529.873117
1.018049,1200,543.782341
-9.198799,1200,557.748535
-36.927324,1200,571.69987
-9.899156,1200,585.646981
49.293579,1200,599.435238
29.372763,1200,613.319793
-15.704129,1200,627.239266
-18.785583,1200,641.324147
-3.888466,1200,655.228879
-2.646187,1200,669.305297
-9.798654,1200,683.134228
-10.959882,1200,696.859795
-16.817334,1200,711.027919
-17.055769,1200,724.8026
20.133184,451,730.043136
0.094654,1200,744.507298
-3.053137,1200,758.247238
-12.595485,1200,772.09328
-2.877876,1200,785.842012
-13.301233,1200,799.723138
10.397153,1200,813.965598
-16.854184,1200,827.994564
-24.305166,1200,841.916732
-60.657707,1200,855.828744
-1.24167,1200,869.767449
35.538799,1200,883.779378
-10.539267,1200,897.803097
6.358331,1200,911.808806
-5.820092,1200,925.735805
-14.90879,1200,939.519001
-33.478692,1200,953.342091
-10.622714,1200,967.21017
-22.32193,1200,981.130975
-15.649314,1200,994.885583
-25.339872,1200,1008.618061
-20.243642,1200,1022.246977
-15.967991,1200,1035.994686
-27.598089,1200,1050.024396
-21.92239,1200,1064.0357
-58.095865,1200,1078.057579
-17.196691,1200,1091.947033
-26.641253,1200,1106.017518
-26.48344,1200,1121.512038
-30.213037,1200,1135.996937
-21.589358,1200,1150.202575
-27.283628,1200,1164.350564
-19.665449,1200,1178.411671
44.03041,709,1186.844716
-5.2181,1200,1200.888541
-34.878634,1200,1215.094295
-16.382662,1200,1229.222569
-23.444562,1200,1243.132253
-18.61897,1200,1257.074483
-34.40234,1200,1271.038557
31.994102,1200,1284.988657
-20.231354,1200,1298.940179
-10.915134,1200,1312.884866
-23.074483,1200,1327.035346
-26.192895,1200,1341.407248
-19.745466,1200,1355.348381
-17.316734,1200,1369.36764
-18.016509,1200,1383.255714
-20.869212,1200,1397.343919
-19.423222,1200,1411.407768
-27.598905,1200,1425.31195
-32.753617,1200,1439.302141
-14.315989,1200,1453.092129
-14.125036,1200,1467.018424
-9.293642,1200,1481.037302
-24.126512,1200,1495.223674
-69.232671,1200,1509.735928
-31.49211,1200,1523.757977
-16.602546,1200,1537.894539
28.022366,1200,1551.893081
-2.743465,1200,1566.042941
-13.256946,1200,1580.173091
-22.838021,1200,1594.23724
-21.511824,1200,1608.391461
-25.858765,1200,1622.531826
-88.086567,1200,1636.636701
-72.940733,1200,1650.756586
-31.667626,1200,1664.814904
-23.415556,1200,1678.898068
-5.9533,1200,1692.977334
-25.13721,1200,1707.046373
-15.658778,1200,1720.972186
-12.817424,1200,1735.19898
-26.447944,1200,1749.032831
-39.389969,692,1757.023179
-8.839488,1200,1770.890341
-26.318038,1200,1784.841756
-25.903251,1200,1798.642955
50.287629,1200,1812.637761
-26.610869,1200,1826.66128
-20.76713,1200,1840.703734
-30.652093,1200,1854.804322
-22.77018,1200,1868.992905
-21.57356,1200,1883.34473
-18.477661,1200,1897.450518
21.648617,672,1905.215601
-15.740159,1200,1919.268743
-22.263683,1200,1933.338356
-2.510506,1200,1947.322631
-16.696583,1200,1961.144454
-6.812496,1200,1975.05691
-14.20672,1200,1988.973495
-21.939108,1200,2002.815842
-25.217809,1200,2016.689454
-31.27668,1200,2030.810377
-16.29711,1200,2044.786885
-11.495738,1200,2058.853391
-34.597823,1200,2072.94513
-33.218425,1200,2086.951433
1.087939,1200,2100.969641
-20.067007,1200,2114.945312
-51.991944,59,2115.659412
-14.904092,1200,2129.806104
-9.644283,1200,2143.852367
-22.955548,1200,2157.933163
-20.544243,1200,2171.979962
-16.975594,1200,2185.732169
-10.9625,1200,2199.392242
-11.885931,1200,2213.267233
25.932773,1200,2227.102137
-12.457138,1200,2241.163778
-51.514507,1200,2255.99217
26.791966,1200,2270.398848
-15.318002,1200,2284.455013
-18.656443,1200,2298.567721
-21.599378,1200,2312.39141
-13.287836,1200,2326.375979
-25.811364,1200,2340.36612
-24.158857,1200,2354.608612
-13.751859,1200,2368.603375
-15.492688,1200,2382.623607
-9.131845,1200,2396.585715
-5.547712,1200,2410.637848
30.37283,35,2411.052528
-20.843773,1200,2424.875934
-20.91842,1200,2438.953554
-35.848459,1200,2452.889475
-25.303577,1200,2466.958908
-8.981855,1200,2481.017204
-61.536343,1200,2495.004372
-20.209575,1200,2508.934018
-19.752518,1200,2522.861347
