r,l,t
0.32407,1200,8.1378
-4.194987,1200,16.902212
-20.630179,1200,25.751982
-4.493236,1200,34.375523
10.372564,1200,43.174499
13.559184,1200,51.955704
-2.331362,1200,60.536107
0.266855,1200,69.115444
-25.275716,1200,77.858937
-3.279571,1200,86.644408
-9.740392,1200,95.381712
-18.965972,1200,104.223233
57.210256,782,109.950436
9.079491,1200,118.674567
29.622134,1200,127.394776
-6.054682,1200,136.232725
-7.192518,1200,145.155039
-16.324614,1200,153.896796
-45.905857,875,160.402996
-14.099933,1200,169.813699
-7.584021,1200,179.292081
-21.268743,1200,188.742109
-19.741696,1200,198.272709
-16.191308,1200,207.684232
-15.056274,1200,216.79708
-70.110393,649,221.526225
-24.687958,1200,230.412911
-9.564935,1200,239.261079
-19.595265,1200,248.123942
-23.399529,1200,257.013323
-18.309226,1200,265.778565
-17.18354,1200,274.643067
-23.68471,1200,283.576966
13.879873,1200,292.404665
-27.455112,1200,301.237277
-26.829861,1200,310.011303
-10.619492,1200,318.779859
6.096054,1200,327.59981
-8.607648,1200,336.69073
-14.804351,1200,345.643086
-19.449769,1200,354.527455
-32.097783,1200,363.845379
-18.328095,1200,372.894962
-21.767759,1200,381.882517
-53.064034,1200,390.912824
13.394117,1200,400.10779
-31.643654,1200,409.190805
68.443889,1168,417.740679
-21.577799,1200,426.571118
-16.496024,1200,435.343305
-20.610859,1200,444.143491
-43.290148,1200,453.058014
8.847747,1200,461.870881
-6.244253,1200,470.732086
27.484418,1200,479.553726
-21.25989,1200,488.445088
-18.608732,1200,497.704087
-41.442614,1200,506.663891
-19.04376,1200,515.846984
-20.641974,1200,524.72579
-10.612297,1200,533.724925
-12.727945,1200,542.787707
-66.370745,1200,551.809097
-23.728037,1200,560.992903
-12.976833,1200,570.599638
-23.660284,1200,579.887961
-16.409654,1200,589.167176
49.918345,234,590.908931
-19.9654,1200,599.998966
-70.0472,74,600.540554
4.688569,1200,609.981896
-32.161263,1200,619.020977
-42.918693,1200,628.003312
-9.569571,1200,637.161078
-33.722043,1200,646.229131
-14.537824,1200,655.23051
-21.276994,1200,664.281597
-16.900296,1200,673.164163
-6.705583,1200,682.145136
-31.506045,1200,691.148504
77.761344,1200,700.177711
-61.876367,1200,709.172336
34.592153,1200,718.346253
12.183004,1200,727.403949
-23.995179,1200,736.323126
6.228576,1200,745.426993
25.860786,1200,754.465255
12.728825,1200,763.453728
-17.578858,1200,772.506238
-25.664238,1200,781.322974
-31.793047,1200,790.102246
-35.748419,1200,798.94547
52.78576,1200,807.771084
27.640829,428,811.000976
-36.062371,1200,819.990048
-6.242157,1200,828.953496
-39.47283,1200,838.017448
-69.637167,1200,846.879859
-20.151818,1200,855.772099
-31.134318,1200,864.763003
-20.564467,1200,873.890859
-28.065305,1200,882.972004
-24.479565,1200,892.12644
19.77169,1200,901.218229
-25.338241,1200,910.363231
-20.753225,1200,919.378008
-12.278684,1200,928.479996
-33.613606,1200,937.460841
-20.758062,1200,946.413275
-24.008123,1200,955.469953
-4.915826,1200,964.559504
-33.155165,1200,973.430979
-1.12939,1200,982.452317
-3.447111,1200,991.370582
22.564727,22,991.533806
-21.500758,1200,1000.596111
-15.316885,1200,1009.569603
-19.797112,1200,1018.52194
66.967267,1103,1026.893707
-51.632534,1200,1035.833967
-12.573134,1200,1044.735297
-73.865223,1200,1053.673735
15.964358,1200,1062.619274
-25.237922,1200,1071.849597
-24.037188,1200,1080.969775
5.443891,1200,1089.946063
-23.396877,1200,1098.894857
-27.827003,1200,1108.004844
-21.019283,1200,1117.129303
60.77123,1200,1126.151832
-19.384035,1200,1135.292808
-9.664075,1200,1144.301848
-28.505803,1200,1153.34015
-22.608667,1200,1162.331664
4.954161,1200,1171.452445
0.58965,1200,1180.463043
-12.161689,1200,1189.477825
-72.020326,1200,1198.493227
38.078141,1200,1207.538616
-21.70335,1200,1216.667922
-15.332677,1200,1225.777024
-14.573284,1200,1234.775861
-22.504302,1200,1243.828557
-21.204717,1200,1252.956386
-18.618308,1200,1261.958416
-42.499349,605,1266.483435
-50.703397,1200,1275.424138
-58.149796,1200,1284.501562
-19.297489,1200,1293.646406
-14.307722,1200,1302.645463
33.971937,963,1310.024934
-27.833599,1200,1319.22586
-29.080674,1200,1328.361645
-7.197257,1200,1337.475314
66.304858,561,1341.710282
-52.680794,1200,1350.797373
-19.354989,1200,1359.807863
-28.857427,1200,1368.781388
-15.940618,1200,1377.722853
-55.211993,223,1379.375142
-51.867968,1200,1388.299832
-48.314061,825,1394.481595
22.751315,1200,1403.499157
-13.943464,1200,1412.530539
-20.106449,1200,1421.306818
-28.206264,1200,1430.101824
-23.876176,1200,1438.840688
-28.354612,1200,1447.793979
-64.208465,1200,1456.77772
-41.281025,1200,1465.825817
-22.300767,1200,1474.960124
-32.204723,1200,1483.875288
-29.482025,1200,1492.859481
61.108151,1200,1502.012945
-25.917568,1200,1511.117211
-2.944443,1200,1520.766496
-22.644898,1200,1529.841136
-24.952161,1200,1538.725479
-40.537099,1200,1547.701077
50.824934,152,1548.823708
-24.221434,1200,1557.80776
90.526229,1200,1566.883187
-10.673421,1200,1575.846035
-17.263326,1200,1584.802655
-14.696129,1200,1593.809243
-32.839023,1200,1602.75865
-29.75377,1200,1611.745187
-17.159444,1200,1620.655204
-25.909621,1200,1629.641508
-9.737769,1200,1638.475809
-10.713874,1200,1647.403603
-58.539582,1200,1656.881737
-25.283785,1200,1665.91346
25.516862,1177,1674.585883
-22.604272,1200,1683.546938
-15.206062,1200,1692.320534
44.067536,1200,1701.079659
-4.736659,1200,1709.739837
-21.582761,1200,1718.407462
-14.496886,1200,1727.124826
-29.01126,1200,1735.967505
-10.448844,1200,1744.781731
-17.684906,1200,1753.628547
-12.614496,1200,1762.506796
-13.776266,1200,1771.303665
-13.51779,1200,1780.085111
-39.294433,1200,1789.917793
-20.091537,1200,1798.681664
-22.291903,1200,1807.717623
-13.323271,1200,1816.658778
4.950326,1200,1825.872692
-24.502177,1200,1834.924097
10.544509,1200,1844.071811
-24.498453,1200,1853.172848
-15.788667,1200,1862.363831
-21.032073,1200,1871.473385
42.546043,1200,1880.37541
-28.739404,1200,1889.315826
-24.000774,1200,1898.287097
-16.959757,1200,1907.302276
-22.982364,1200,1916.394054
-10.94292,1200,1925.371942
-21.121163,1200,1934.354682
-18.658082,1200,1943.512144
37.047728,1200,1952.639033
-15.432793,1200,1961.749444
-14.946865,1200,1970.696804
-19.959022,688,1975.906118
-18.514024,1200,1984.923771
-40.839782,1200,1993.919387
-13.880454,1200,2003.310935
-15.689989,1200,2012.406048
-19.921478,1200,2021.343768
-9.545131,1200,2030.352273
-20.64394,1200,2039.306257
-9.951182,1200,2048.445467
34.087012,1200,2057.612231
-2.263371,1200,2066.649033
-11.591701,1200,2075.836905
-1.046928,1200,2084.870713
-20.66993,1200,2094.038507
-7.252085,1200,2103.104476
-25.682608,1200,2112.072816
-54.598803,1200,2121.01086
-7.920492,1200,2130.284507
-34.249166,1059,2138.417006
-12.80723,1200,2147.52057
-25.38858,1200,2156.62102
-12.188931,1200,2165.567043
-2.209729,1200,2174.527755
-28.480119,1200,2183.56989
8.255407,1200,2193.018533
-14.977393,1200,2202.184663
-76.006928,1200,2211.308335
-28.495641,1200,2220.400814
-9.360824,1200,2229.376229
-23.641559,1200,2238.53725
-33.054498,1200,2247.624976
-27.485538,1200,2256.838296
12.220264,1200,2265.822125
-22.003003,1200,2274.881702
-32.732894,1200,2283.784709
-23.757179,1200,2292.604657
-23.239807,1200,2301.54302
57.864818,734,2306.907487
-55.896896,1200,2315.986312
-13.735512,1200,2325.117137
-20.540958,1200,2334.106068
82.123138,1200,2343.15551
3.98907,1200,2352.405869
78.992941,254,2354.33883
-14.100865,1200,2363.57872
-22.80893,1200,2372.796979
-24.199173,1200,2381.886485
-35.861384,1200,2390.934782
-8.153263,1200,2400.13756
-24.810741,1200,2409.314679
-32.313774,1200,2418.429294
-23.919356,1200,2427.45047
-28.109033,1200,2436.547592
-23.460775,1200,2445.647615
-28.914936,1200,2454.817785
-27.913545,1200,2463.730345
-23.80231,1200,2472.748114
-24.819969,1200,2481.816354
-36.96569,1200,2491.534312
-17.310639,1200,2500.818773
-31.150963,1200,2510.030603
-25.835282,1200,2519.222712
1.3373,1200,2528.349967
-29.872344,1200,2537.557096
-20.206047,1200,2548.510655
-39.501241,1200,2557.662376
-23.447257,1200,2566.815424
28.403328,1200,2576.008428
-25.894649,1200,2585.150891
-32.618312,1200,2594.255945
-34.268319,1200,2603.320204
-29.46849,1200,2612.61598
-20.44008,1200,2621.697756
-27.549822,1200,2630.697851
-41.448923,1200,2639.684482
-8.686817,1200,2648.770488
-25.894544,1200,2657.740524
-18.742538,1200,2666.878886
-32.455932,1200,2675.884799
-25.584391,1200,2684.76975
-16.795869,1200,2693.805163
-23.082441,1200,2702.825623
-26.801821,1200,2711.694459
44.235006,1200,2720.629043
85.743712,1200,2729.70535
-21.095126,1200,2738.752893
-33.329843,1200,2747.929199
-26.585621,1200,2756.939912
-36.094695,1200,2766.03388
-51.515784,1200,2775.062064
-22.000943,1200,2784.1286
-35.551507,1200,2793.073915
-35.777064,1200,2802.174841
11.389673,1200,2811.180014
-22.255515,1200,2820.241679
4.384201,1200,2829.278808
-14.576314,1200,2838.312672
-25.582812,1200,2847.365553
-32.387717,1200,2856.409488
8.035783,1200,2865.522996
-38.912215,1200,2874.632953
-24.434926,1200,2883.681602
-0.637375,1200,2892.691642
-18.780718,1200,2901.720064
-17.899973,1200,2910.878972
-19.386585,1200,2919.741657
-63.5622,46,2920.082379
-9.597998,1200,2928.864628
58.151707,1200,2937.70518
-20.055304,1200,2946.685023
-49.565755,216,2948.256076
-18.80583,1200,2957.303986
-30.831523,1200,2966.133864
-21.905605,1200,2975.247752
-13.29577,1200,2984.248124
-41.364756,1200,2993.463944
-15.856664,1200,3002.695188
-24.813517,1200,3011.806015
-36.563404,1200,3021.566403
-30.244866,1200,3030.987237
24.258756,1200,3040.155842
25.528998,904,3047.012743
-16.307825,1200,3056.008554
-45.100268,1200,3065.188823
-21.766476,1200,3074.21578
-21.959384,1200,3083.17361
-5.502513,1200,3092.117127
-20.74184,1200,3101.13576
-16.153107,1200,3110.051093
-32.806989,1200,3119.057256
-13.407497,1200,3128.117466
-12.001592,1200,3137.156666
-12.680558,1200,3146.185196
-29.481903,1200,3155.070914
-48.823523,1200,3164.021188
75.395576,1132,3172.410431
-54.70697,1200,3181.387591
-12.805746,1200,3190.156667
-35.680866,1200,3199.08681
-4.725621,1200,3208.025263
-23.343133,1200,3216.88014
-63.364276,1200,3225.710434
-17.962254,1200,3234.562046
-20.29803,1200,3243.469287
29.523719,711,3248.760954
-29.776707,1200,3257.614575
-34.510283,1200,3266.352914
27.816586,1200,3275.365426
-23.210294,1200,3284.267232
-24.759228,1200,3292.981324
-30.499129,1200,3301.867262
-35.580912,1200,3310.662694
-39.431697,1200,3319.491868
-27.339719,1200,3328.633907
-33.246778,1200,3337.481889
-24.982841,1200,3346.437591
-16.001134,1200,3355.503264
43.12791,43,3355.828719
-30.561616,1200,3364.662865
-27.892438,1200,3373.569543
-60.882553,1200,3382.569124
-42.177512,1200,3391.492247
-17.654935,1200,3400.566594
-44.829033,1200,3409.549376
-74.418164,1200,3418.48773
-14.059522,1200,3427.487801
-19.048945,1200,3436.444931
-28.036634,1200,3445.438726
-27.31928,1200,3454.463986
-29.838944,1200,3463.896823
