r,l,t
2.003809,1200,1.488631
-19.37,1200,4.114816
-18.567603,1200,5.506722
-21.151587,1200,8.212946
-16.683825,1200,9.640338
-16.731156,1200,12.324234
-14.529269,1200,15.014018
-40.117211,1200,16.468497
-31.557875,1200,19.17935
-18.897399,1200,20.616818
-27.790881,1200,23.332471
42.643796,1200,26.067851
-29.071118,1200,27.530031
-5.639104,1200,30.24049
28.435658,763,31.116732
-21.771794,1200,33.765568
-41.499891,1200,35.137661
-20.027862,1200,37.848638
-7.063015,1200,39.343179
-19.409557,1200,41.989601
-20.461727,1200,44.626395
-20.230388,1200,46.088677
-17.490276,1200,48.722067
-25.241783,1200,50.12626
-15.235896,1200,52.917984
-9.022904,1200,55.533823
-4.114759,1200,56.887604
-0.352409,1200,59.5513
0.214266,1200,60.998459
-5.701189,1200,63.712846
-22.77371,1200,65.10051
-21.939228,1200,67.679804
-18.917838,1200,70.323721
-20.391865,1200,71.793412
-7.478757,1200,74.478728
-8.967462,1200,75.985077
-27.458344,1200,78.729821
-10.560013,1200,81.925955
-53.025572,1200,83.380514
7.443454,1200,86.015629
-6.005989,1200,87.445353
-10.539682,1200,90.067073
-16.815087,1200,91.484234
-18.289581,1200,94.136588
-25.826484,1200,96.703269
-3.78901,1200,98.05884
-24.227106,1200,100.969324
-38.343249,1200,102.367301
-24.496746,1200,104.935219
-27.014613,1200,107.549972
42.765512,1051,108.767477
9.176598,1200,111.404248
-8.835872,1200,112.83471
-12.645875,1200,115.44563
-15.692117,1200,116.847795
22.704425,1200,119.423649
-46.403008,1200,122.012276
51.573441,561,122.660358
-16.480658,1200,124.109512
21.857682,1200,126.72753
-32.533173,1200,129.390812
-13.871665,1200,130.80112
14.475588,1200,133.494037
-25.797372,1200,134.926931
-14.635365,1200,137.535708
-8.354979,1200,140.216136
-9.869192,1200,141.60212
-34.148457,1200,144.264863
-19.278568,1200,145.688216
-20.825013,1200,148.343614
-18.906801,1200,150.950788
-12.236259,1200,152.359168
-18.600002,1200,154.924782
-14.878455,1200,156.335525
-0.989799,1200,158.981264
-14.867603,1200,160.329354
-32.005726,1200,162.948297
-22.129309,1200,165.659883
-21.566399,1200,167.091658
-19.253074,1200,169.68861
-12.719911,1200,171.11829
-18.829354,1200,173.737903
-13.930629,1200,176.430272
-31.999425,1200,178.004358
7.870974,1200,180.63137
-22.405693,1200,181.991435
-11.400198,1200,184.588028
-23.652984,1200,186.01747
-19.618292,1200,188.600902
-20.953552,1200,191.222205
-32.413526,1200,192.630052
-20.128648,1200,195.267449
-14.171622,1200,196.670543
-22.118271,1200,199.275898
-6.044292,1200,201.958751
-14.663536,1200,203.403679
-3.801521,1200,205.997466
76.228649,417,206.485705
-11.734962,1200,209.124305
-31.465092,1200,210.547564
-55.063871,1200,213.161729
-29.708887,1200,214.58953
-39.590688,292,214.934202
-18.238368,1200,217.558785
-23.423225,1200,220.131318
-21.879894,1200,221.52352
-11.721132,1200,224.177769
-16.473581,1200,225.551973
-20.657826,1200,228.272116
-7.661863,1200,230.880939
-17.488865,1200,232.324091
-27.611625,1200,234.933641
-16.12997,1200,236.392901
-36.951355,1200,239.067172
-30.213129,1200,240.457791
-28.398873,1200,243.069748
-22.878811,1200,245.70473
-3.696398,1200,247.106081
6.722044,1200,249.7709
-15.372169,1200,251.223801
-19.164086,1200,253.920681
-22.890298,1200,256.561126
-9.157082,1200,257.999164
-20.252687,1200,260.629377
-30.08345,985,261.808185
37.224662,1200,264.418967
-27.44468,1200,265.849114
25.961253,1200,268.425027
-30.771452,1200,271.069775
-13.61641,1200,272.509562
-21.216102,1200,275.190647
-27.13613,1200,276.598366
-22.593567,1200,279.249706
-28.851973,1200,280.715713
-13.705943,1200,283.35627
-15.178566,1200,286.02837
-24.896467,1200,287.513381
-17.790124,1200,290.136956
-23.730535,1200,291.657194
-14.614928,1200,294.268756
-24.350608,1200,296.969288
-22.516085,1200,298.393131
-20.905535,1200,301.080437
-14.691717,1200,302.56964
-10.831415,1200,305.213121
-26.741985,1200,307.93222
-12.945451,1200,309.324888
16.307288,1200,312.399194
-24.165521,1200,314.115153
-27.213656,1200,316.775502
-24.239379,1200,318.288561
-6.44053,1200,320.932994
-59.387189,1200,323.618941
-20.935675,1200,325.09827
-23.779004,1200,327.777176
-3.874446,1200,329.216594
-9.307648,1200,331.808627
-26.441439,1200,334.469599
-23.959747,1200,335.881786
-35.81314,1200,338.540678
-18.523751,1200,340.005114
-15.25576,1200,342.549334
-29.451924,1200,344.021311
23.928761,1200,346.694639
