r,l,t
-15.290551,1200,15.589014
-11.623346,1200,29.28572
-1.609696,1200,42.952584
-18.057296,1200,56.614407
12.339319,1200,70.256266
-13.180418,1200,83.934695
-13.734596,1200,97.837696
-14.861166,320,101.511527
-14.760932,1200,115.445744
21.64976,1200,129.310536
-3.129408,1200,143.266883
-2.061831,1200,157.082242
-12.014346,1200,170.790424
26.984664,1200,184.528548
-16.505983,1200,198.341895
1.994248,1200,212.135335
-27.309314,1200,226.005117
4.550244,1200,239.763882
3.838606,1200,253.593328
38.117666,853,263.426721
18.588633,1200,277.366397
-12.062992,1200,291.171296
-15.054127,1200,304.993082
-17.022965,1200,318.767052
7.915776,1200,332.704948
-1.871158,1200,346.555158
-2.278677,1200,360.255234
-3.720818,1200,374.030292
-2.92888,1200,387.741701
-8.113383,1200,401.806334
2.392176,1200,415.778775
32.339674,1200,429.622043
91.580734,1200,443.477887
5.428858,1200,457.317357
-12.095111,1200,471.18757
29.189634,1200,485.07429
-10.164952,1200,498.756344
-5.301129,1200,512.747869
10.74881,1200,526.548818
-13.336039,1200,540.434605
-14.2308,1200,554.203624
-8.027528,1200,568.039198
-9.442182,1200,581.808247
-5.740913,1200,595.641401
5.367304,180,597.687323
-18.098153,275,600.793595
27.716416,1200,614.569594
-2.702829,1200,628.333782
24.658877,1200,642.152089
30.125659,1200,655.93323
-12.825291,1200,669.671777
97.897285,101,670.836803
-3.626479,1200,684.542189
11.769877,1200,698.317251
-6.896056,1200,712.4029
54.061795,1200,726.179124
10.96613,1200,739.982872
-6.102018,1200,754.242656
24.193285,1200,768.368781
2.129027,1200,782.828128
2.634247,1200,796.638952
50.259107,1200,810.584686
-12.812253,1200,824.471569
-1.160478,1200,838.278592
28.818564,1200,852.14383
91.826717,383,856.606994
3.998736,1200,870.387906
-4.616528,1200,884.6904
35.494156,1200,898.446109
7.588356,1200,912.491384
-20.907197,1200,926.438274
-16.430286,1200,940.164734
6.990467,1200,953.987012
53.998182,1200,967.942672
-13.8862,1200,981.669895
42.598255,1200,995.456458
-8.993785,1200,1009.394301
-27.015293,1200,1023.041815
-25.955041,1200,1037.220526
-12.389349,1200,1051.065338
-7.427449,1200,1064.902678
-7.785193,1200,1078.730145
-33.115393,1200,1092.659486
34.974288,1200,1106.786685
-3.104843,1200,1121.230622
8.046458,1200,1135.47537
-8.332067,1200,1149.41227
-27.318589,1200,1163.445081
67.218576,1200,1177.496549
60.689286,1200,1191.767322
72.326471,842,1201.675762
-5.899687,1200,1215.644464
-26.720894,1200,1229.602256
25.969694,1200,1243.496678
142.960274,630,1250.826705
-6.399614,1200,1264.741516
3.18752,1200,1278.814276
-8.061564,1200,1292.907772
8.47862,1200,1307.055321
58.792935,1200,1321.31694
69.707726,191,1323.540098
52.015459,1200,1337.645056
78.434837,1200,1352.128868
2.826347,1200,1366.369919
-5.805928,1200,1380.329324
11.585475,1200,1394.563561
53.194359,324,1398.381841
15.524937,1200,1412.459115
40.06074,1122,1425.554279
55.342324,1074,1438.149982
-31.644059,1200,1452.222337
-31.879266,1200,1466.195374
14.851747,1200,1480.160481
-1.390239,1200,1494.142713
37.298567,846,1504.004541
-20.693787,1200,1518.040994
12.198484,1200,1532.096779
68.648513,1200,1546.153778
-40.538564,327,1549.920156
-28.522976,381,1554.391449
71.925924,1200,1568.509991
-11.223264,1200,1582.456609
-13.711724,1200,1596.419175
-8.297418,1200,1610.415597
-0.286774,1200,1624.593312
37.689496,453,1629.853357
43.123642,1200,1644.017491
34.218677,1200,1658.089591
42.235878,1200,1672.153275
67.359512,1200,1686.462138
53.620331,1200,1700.355315
-2.420257,1200,1714.271324
104.3633,1200,1728.217504
-27.679988,1200,1742.130276
-48.466725,424,1747.023227
-13.904024,1200,1760.931157
4.860522,1200,1774.751437
18.857716,1200,1788.698348
-44.917859,1200,1802.805368
107.737415,1200,1816.817442
24.696347,1200,1831.034284
-10.147857,1200,1845.169696
75.936727,94,1846.278913
-8.583553,1200,1860.339694
-37.689943,206,1862.717777
-20.673711,1200,1876.835462
94.430294,1200,1890.797194
-9.119596,1200,1904.672211
46.119728,1033,1916.833917
-15.116795,1200,1930.776003
48.227369,106,1931.993257
51.964417,1200,1946.033982
17.866659,1200,1960.289656
-4.684063,1200,1974.624322
-40.987465,1200,1989.492826
4.797231,1200,2003.600841
13.597513,1200,2017.506433
74.039733,1200,2031.520336
74.272056,1200,2045.294236
0.945308,1200,2059.630414
117.367929,1087,2072.173358
44.388618,1200,2086.017822
-22.950811,1200,2099.717224
21.860092,1200,2113.372671
5.907222,1200,2127.086364
-13.480794,1200,2140.834169
-19.345747,572,2147.596529
24.405802,1200,2161.442614
22.354958,1200,2175.379244
51.740787,116,2176.740547
-9.339799,1200,2190.533576
10.24776,1200,2204.260792
-29.203031,1200,2218.011723
3.303961,1200,2231.752859
1.508616,1200,2245.692454
-9.268266,1200,2259.538705
-18.65799,1200,2273.229563
79.004949,1200,2287.138207
39.405948,1200,2301.066829
52.948489,568,2307.729054
57.500632,1200,2321.495988
44.426917,440,2326.595105
62.4979,1200,2340.64257
58.245657,1200,2354.614399
-5.320224,1200,2368.663151
57.562073,825,2378.320865
-2.654822,1200,2392.092263
-8.227242,1200,2406.144392
23.588745,1200,2420.26653
-25.246617,469,2425.726473
91.60332,317,2429.442451
42.986234,122,2430.873743
-11.884005,1200,2444.881515
37.14176,106,2446.100884
16.199033,1200,2460.268597
95.161434,1200,2474.383537
30.076878,1200,2488.331123
-8.194298,1200,2502.153589
58.679966,230,2504.785778
3.187612,1200,2519.046812
23.239128,1200,2532.807878
-84.882575,1135,2545.795347
22.698314,1200,2559.772421
37.499312,151,2561.49773
-5.168283,1200,2575.243853
35.632068,1200,2589.119201
41.025031,867,2599.027981
-52.775704,1200,2612.90155
30.545372,1200,2626.651963
-12.820999,40,2627.106208
15.532263,1200,2641.169007
55.824575,1200,2654.995987
13.866412,1200,2668.789273
48.980688,1200,2682.775799
-18.867038,1200,2696.71086
25.399173,1200,2710.758972
-21.282697,134,2712.304738
0.27422,1200,2726.087323
-8.263399,1200,2739.837336
44.731183,303,2743.340935
22.030875,1200,2757.303938
23.968527,1200,2771.05605
100.918333,1200,2784.827
-39.1265,1200,2798.690032
75.873912,1198,2812.415195
4.878742,1200,2826.475
15.083049,1200,2840.714894
58.918402,1200,2854.566348
54.913134,1200,2868.440741
72.939455,163,2870.345291
91.111553,1200,2884.194042
3.553177,1200,2898.175052
2.772525,1200,2911.955144
12.207039,1200,2925.793192
10.682764,1200,2939.902364
34.171282,1200,2954.081279
-16.272369,587,2960.891574
27.269883,1200,2974.838856
-15.635801,1200,2988.761156
31.294106,1200,3002.735452
77.915114,1200,3016.686984
6.958475,1200,3030.57867
23.808693,1200,3044.379792
41.376139,1200,3058.252058
55.69731,1200,3072.071133
48.60924,1200,3086.263181
31.917842,656,3093.817667
34.506359,1200,3107.564952
-54.680544,1200,3121.616485
10.29836,1200,3135.540275
53.963997,1200,3149.417414
68.294135,101,3150.602046
24.18046,1200,3164.476731
68.103657,1179,3178.11979
-5.185793,1200,3191.944025
-17.996201,71,3192.77667
8.650716,1200,3206.886915
92.818701,220,3209.40692
-2.473745,1200,3223.218744
3.485435,1200,3236.83142
-1.712372,1200,3250.747934
24.91709,1200,3264.790109
-38.856884,1200,3278.789291
99.098012,1200,3292.713317
5.530961,1200,3306.758243
9.955486,1200,3320.6161
11.220701,1200,3334.804203
82.437041,1200,3349.11693
54.388065,1200,3363.346572
16.455963,1200,3377.157353
6.997414,1200,3391.122608
-46.925269,1200,3405.291073
55.896982,1200,3419.045624
-9.748979,1200,3432.787582
-2.694991,139,3434.390405
45.686489,961,3445.458399
10.717354,1200,3459.365814
-33.934942,1200,3473.28258
-11.225107,1200,3487.393629
-9.618054,1200,3501.465204
21.933156,1200,3515.451821
58.843729,393,3520.069576
120.934618,521,3526.062811
71.534731,1200,3540.041254
-2.786952,1200,3554.019384
-2.438881,1200,3567.815233
5.346038,1200,3581.816502
60.058958,1200,3595.750373
-72.963949,168,3597.696991
14.547327,1200,3611.791121
88.151548,1200,3625.849461
109.085762,1043,3638.059474
-3.249072,1200,3651.96576
-15.960658,1200,3665.807538
102.106015,349,3669.796056
82.508951,1141,3682.856747
-10.679594,1200,3696.730401
-13.689483,1200,3710.517471
94.316281,606,3717.513241
59.112618,1200,3731.499824
0.128496,1200,3745.326684
-3.84742,1200,3759.218329
127.7918,458,3764.465914
107.438775,215,3766.910203
1.258275,1200,3780.792298
70.248666,496,3786.439488
3.931746,1200,3800.404737
39.656551,1200,3814.444133
43.0606,1200,3828.431196
79.665804,1200,3842.257696
-10.83013,1200,3856.120251
30.458925,1200,3870.037147
113.222663,162,3871.885971
31.420999,1200,3885.740103
-7.14911,1200,3899.65972
28.777921,1200,3913.514647
2.649829,1200,3927.683629
55.333282,1200,3941.885016
72.975149,1200,3956.327574
2.175121,1200,3970.333215
-6.345103,1200,3984.287497
